Titlu,Descriere,Categorie
In memoriam… Adela Dinu,"La inițiativa membrilor Departamentului de Pregătire a Personalului Didactic (DPPD) începând de joi, 26 ianuarie 2016, Oficiul de Consiliere Psihologică  și Evaluare Aptitudinală a Studenților din cadrul Universității Politehnica Timișoara poartă şi numele colegei asist. dr. Adela Dinu, dispărută timpuriu dintre noi. În chip de prețuire pentru întreaga carieră dedicată promovării egalităţii de şanse și [...]",EVENIMENT
Conferință proiectare antiseismică,"În perioada 9 &#8211; 12 ianuarie, Departamentul CMMC îl are ca profesor invitat pe dr. Atsushi Sato de la Nagoya Institute of Technology din Japonia. Cu această ocazie, miercuri, 11 ianuarie 2017, ora 12:00, în Aula Academiei Române, va avea loc Conferința SEISMIC DESIGN PROCEDURE OF STEEL STRUCTURES IN JAPAN – HISTORY AND RECENT MOVEMENTS [...]",EVENIMENT
Profesorul Frede Blaabjerg – Doctor Honoris Causa al UPT,"Luni, 9 ianuarie 2017, ora 15:00, în sala K1 a Bibliotecii Centrale a UPT, va avea loc ceremonia de decernare a titlului academic de DOCTOR HONORIS CAUSA al Universității Politehnica Timișoara domnului Profesor Frede Blaabjerg, de la Universitatea Aalborg din Danemarca. Cu această deosebită ocazie, domnul Profesor Frede Blaabjerg va susține disertația „Experience in Education [...]",EVENIMENT
UPT a câștigat un HUB Digital de la Google,"Proiectul Atelierul Digital sponsorizat de Google și-a anunțat câștigătorii. Printre cele 10 universități din România, care au câștigat un HUB Digital, se numără și Universitatea Politehnica Timișoara, singura din orașul de pe Bega. Rezultatul a fost posibil prin implicarea studenților și a cadrelor didactice care au parcurs trainingul online, finalizând modulele interactive și acumulând puncte [...]",EVENIMENT
Prof. Hugh Burrows conferențiază la UPT,"Prof. dr. Hugh Burrows va susține două conferințe în cadrul Universității Politehnica Timișoara, după cum urmează: Nanostructuring Conjugated Polymers for Organic Electronics &#8211; marți, 28 februarie 2017, la ora 12:00, în Sala Senatului din Piața Victoriei; Some Reflections on Communicating and Publishing Science &#8211; joi, 2 martie 2017, la ora 12:00, în Sala Polivalentă din [...]",EVENIMENT
Newsletter 2016,"Biroul de Comunicare și relații publice din cadrul Departamentului de Comunicare și Imagine a finalizat primul Newsletter pentru anul universitar 2016-2017. Materialul a fost conceput pentru a evidenția eforturile de consolidare a unei imagini pozitive a UPT, precum și pentru a sublinia importanța bunei comunicări în interiorul comunității noastre academice. Buletinul informativ prezintă realizări ale cadrelor [...]",EVENIMENT
Zilele Carierei – ediția a X-a,"Cel mai mare târg universitar de joburi din România, organizat de Universitatea Politehnica Timișoara în perioada 29 &#8211; 30 martie a.c.,  la Restaurantul Universitar Politehnica, ajunge la ediția a X-a. Evenimentului de orientare în carieră i se adaugă și o componentă diplomatică, Execelența Sa Päivi Pohjanheimo, Ambasadoarea Finlandei, participând la festivitatea de deschidere. Standurile celor [...]",EVENIMENT
Dezvoltări recente în Teoria Dilatării,"Departamentul de Matematică al Universității Politehnica Timișoara vă invită la Seminarul Științific cu tema “Unele dezvoltări recente în Teoria Dilatării” care va avea loc Miercuri, 29.03.2017, ora 10 la sala Polivalentă a bibliotecii UPT. Seminarul îl are ca invitat pe Domnul Prof. univ. dr. Gheondea Aurelian de la Institul de Matematică Simion Stoilow al Academiei [...]",EVENIMENT
Susținere teză de abilitare Ioan Sorin HERBAN,"Vineri, 31 martie 2017, începând cu ora 12:00, va avea loc susținerea publică a tezei de abilitare cu titlul “THEORETICAL AND EXPERIMENTAL RESEARCH ON STRUCTURES AND HISTORICAL SITES USING ADVANCED SURVEYING ENGINEERING METHODS“, elaborată de Conf.dr.ing. Ioan Sorin HERBAN. Manifestarea va avea loc la Facultatea de Construcții, Str. Traian Lalescu nr. 2, Amfiteatrul CA.",EVENIMENT
Open Education Week 2017,"Vineri, 31 martie 2017, orele 9-14, Universitatea Politehnica Timișoara prin Centrul de ID/IFR și e-Learning organizează a IV-a ediție a Workshop-ului internațional „Open Education. Educația deschisă – de la teorie la practică”.  La eveniment vor fi prezenți 13 speakeri de nivel internațional: dr. Andreia Inamorato dos Santos (European Commission&#8217;s JRC &#8211; Institute for Prospective Technological [...]",EVENIMENT
Invitaţie eveniment aniversar Marie Sklodowska Curie,"Comisia Europeană sărbătorește 20 de ani de burse de cercetare Marie Sklodowska Curie printr-un eveniment organizat la USAMVB Timișoara, în perioada 16-17 martie: 20 Years of Marie Skłodowska-Curie Actions: Past, Present &#38; Future in Career Development of Researchers. În ultimii 20 de ani Comisia Europeană a finanțat 100 000 de burse de cercetare Marie Sklodowska [...]",EVENIMENT
Seara Filmului German,"Joi, 9 martie, de la ora 18, în sala Polivalentă a Bibliotecii UPT va avea loc proiecția peliculei The Cut/Tăietura, în regia lui Fatih Akin (2013/2014). Filmul tratează un subiect istoric extrem de sensibil: genocidul populației armene din Imperiul Otoman (1915-1916). The Cut/Tăietura prezintă povestea lui Nazareth, un tânăr armean deportat în lagăre de muncă silnică, ce ajunge să supraviețuiască [...]",EVENIMENT
International Conference on Applied Sciences ICAS2017,"Universitatea Politehnica Timișoara în parteneriat cu University of Banja Luka &#8211; Republic of Serbia organizează, în perioada 10 &#8211; 12 mai 2017, conferința internațională ICAS2017. The International Conference on Applied Sciences se va concentra asupra câtorva domenii de aplicare, exploatare și influență a științelor aplicate și a tehnologiilor asupra industriei. Sunt invitate să participe toate [...]",CERCETARE - COOPERARE
Ziua MPT – Ediția 1,"Facultatea de Management în Producție și Transporturi vă informează despre evenimentul „Ziua MPT&#8221; &#8211; Ediția 1 care va avea loc în data de 27 aprilie 2017 începând cu ora 10.00 în Amfiteatrul A0, str. Remus nr. 14. Programul acestui eveniment include o serie de activități: panel cu directorii de firme, prezentarea unor lucrări științifice realizate prin [...]",EVENIMENT
Seara Filmului German,"Vă invităm joi, 4 mai, la ora 18, la Biblioteca UPT (Sala Polivalentă), să vizionați filmul Hannah Arendt. Pelicula prezintă viața tumultoasă a scriitoarei  germano-americană Hannah Arendt (rol interpretat excelent de actrița Barbara Sukowa). Povestea începe la New York, unde Hannah Arendt predă la New School, după ce a reușit să se salveze dintr-un lagăr de concentrare, [...]",EVENIMENT
EVENIMENT,"În perioada 22-24 martie 2017 Universitatea Politehnica Timișoara a participat la cea de-a XV-a ediție a Salonului Internațional al Cercetării, Inovării si Inventicii Pro Invent, Cluj-Napoca unde a obținut Diploma de Excelență și Medalia de Aur pentru următoarele invenţii: 1. Instalaţie mobilă pentru susţinerea copilului în timpul radiologiei pediatrice &#8211; autori Ştefan Pavel, Călin Marius [...]",EVENIMENT
Experiența mea europeană – expoziție de fotografie,"Anul acesta se sărbătoresc 30 de ani de la lansarea programului Erasmus, iar Universitatea Politehnica Timișoara participă de peste 20 de ani la acest proiect european. Vă invităm luni, 10 aprilie, de la ora 14.30, la Biblioteca UPT (Holul central), la inaugurarea expoziției de fotografie Experiența mea europeană. Această expoziție are ca obiectiv prezentarea experiențelor [...]",EVENIMENT
Conversia energiei – curs gratuit la ExperimentariumTM,"În perioada 28 Aprilie 2017 – 16 Iunie 2017, Universitatea Politehnica Timişoara organizează la Experimentarium TM un curs gratuit intitulat „Conversia energiei”. Cursul este susținut de experți din cadrul UPT și din industrie, este gratuit și se adresează tuturor celor interesați de acest domeniu de cercetare. Cursul se va desfășura la Departamentul de Hidrotehnică, str. [...]",EVENIMENT
Prezentare fake news,"Joi, 6 aprilie, de la ora 10:00, la Facultatea de Științe ale Comunicării, în amfiteatrul Ca3, va avea loc prezentarea cu tema „Liber arbitru vs. fake-news” susținută de publicistul Marius Ghilezan.",EVENIMENT
Zilele Culturii Portugheze la Biblioteca UPT,"Institutul Camões din București, Centrul de Limba Portugheză al UVT și Biblioteca Universității Politehnica Timișoara vă invită la Zilele Culturii Portugheze. Evenimentele debutează  marți, 23 mai, în holul central al Bibliotecii UPT cu expozițiile de grup Dorul este traductibil, de Alexandra Trofin &#38; Sandra Andrei (UPT) și Storytiles, de Radu Sticlea (UVT). Expozanții, foști studenți Erasmus în Portugalia, la Coimbra și [...]",ALTE ANUNȚURI
Profesor Bologna 2017,"Universitatea Politehnica Timișoara se numără și anul acesta printre universitățile cu cei mai mulți câștigători în cadrul competiției organizate de Alianța Națională a Organizațiilor Studențești din România. Ajunsă la cea de-a X-a ediție, Gala Profesorului Bologna s-a desfășurat sub înaltul patronaj al președintelui României, într-un cadru special, decernarea premiilor ținându-se în sala „C. A. Rosetti” [...]",ALTE ANUNȚURI
Zilele Culturii Portugheze la Biblioteca UPT,"Institutul Camões din București, Centrul de Limba Portugheză al UVT și Biblioteca Universității Politehnica Timișoara vă invită la Zilele Culturii Portugheze. Evenimentele debutează  marți, 23 mai, în holul central al Bibliotecii UPT cu expozițiile de grup Dorul este traductibil, de Alexandra Trofin &#38; Sandra Andrei (UPT) și Storytiles, de Radu Sticlea (UVT). Expozanții, foști studenți [...]",EVENIMENT
Invitație – Webinar Elsevier,"Sunteți invitat să participați la webinarul Elsevier despre Scopus, cu titlul ”Cum funcționează profilul de autor” din data de 23 mai 2017 de la ora 15:00, cu agenda: Ce este Scopus? Ce este un profil de autor? Cum se funcționează? Cum corectăm? Acest webinar va fi prezentat în limba română, iar pe parcursul sesiunii aveți [...]",EVENIMENT
TMTinIng2017,"A XIII-a ediție a sesiunii de comunicări pentru tineret TMTinIng2017 se va desfășura în zilele de 18 – 19 mai 2017, la Facultatea de Mecanică, sala 104 SMC. Sesiunea de comunicări se adresează în principal masteranzilor anului II, din departamentul MMUT al Facultății de Mecanică, dar sunt bineveniți și alți masteranzi sau  doctoranzi ai UPT. Manifestarea științifică este organizată în colaborare [...]",EVENIMENT
Sesiune de comunicări studențești TEHNO-MAT 2017,Departamentul de Ingineria Materialelor şi Fabricației (Centrele de cercetare: Procesarea şi Caracterizarea Materialelor Avansate şi Inginerie Integrată) din Facultatea de Mecanică organizează în data de 15 iunie 2017 sesiunea de comunicări studențești „TEHNO-MAT 2017” cu secțiunile: - Ingineria Materialelor; - Inginerie Integrată; - Ingineria Sudării; la care se pot prezenta lucrări științifice ale absolvenților de [...],EVENIMENT
Seminar în domeniul injectării materialelor plastic,"Centrul de Competențe în Plasturgie din Facultatea de Mecanică Timișoara, organizează, luni 15 mai, ora 9:00, amfiteatrul K1, Biblioteca UPT, împreună cu companiile ENGEL România/Austria, ONI și WERNER KOKH Germania, seminarul ”Creşterea eficienţei la injectarea materialelor plastice – Noutăţi de la ENGEL şi parteneri producători de echipamente şi instalaţii” unde vor fi prezentate cele mai [...]",ALTE ANUNȚURI
Curs gratuit de Microsoft Office 365,"Microsoft oferă încă un curs gratuit cadrelor didactice din UPT. Vineri, 12 mai, începând cu ora 10:00, la etajul 4 al BUPT, va avea loc seminarul de prezentare Office 365. Programul poate fi consultat aici.",EVENIMENT
Workshop educational Azure Everywhere în Universitatea Politehnica Timișoara,"Miercuri, 10 mai, la etajul 4 al BCUPT, va avea loc workshop-ul educațional personalizat Azure Everywhere, unde vor fi prezentate cele mai moderne tehnologii Microsoft. Mai multe informații găsiți aici.",EVENIMENT
Conferința Managementul Traficului și Mobilitatea,"Facultatea de Construcții vă informează despre conferința MANAGEMENTUL TRAFICULUI ȘI MOBILITATEA organizată în colaborare cu Asociația Profesională de Drumuri și Poduri din România &#8211; Filiala BANAT, Primăria Municipiului Timișoara și A.S.T.R. &#8211; Filiala Timișoara. Evenimentul are loc în data de 11-12 mai 2017 în Sala Polivalentă a Bibliotecii Centrale a Universității Politehnica Timișoara. Programul cuprinde [...]",EVENIMENT
Conferința ICALT2017,"În perioada 3-7 iulie 2017, se va desfășura la Timișoara a 17-a ediție a Conferinței Internaționale despre Tehnologii Avansate Educaționale (ICALT2017), organizată de Asociația Internațională IEEE Computer Society, în parteneriat cu Universitatea Politehnica Timișoara prin Centrul ID/IFR si e-Learning (CEL). Ceremonia de deschidere va avea loc luni, 3 iulie 2017, cu începere de la ora [...]",EVENIMENT
Burse Fulbright pentru profesori și cercetători,"Programul de burse postdoctorale Fulbright se adresează cadrelor didactice și cercetătorilor din universități cu scopul de a realiza studii și cercetări în mediul academic American. Fulbright_RAF Scholar Award: deadline: 24 OCTOMBRIE, 2017; pentru pregătire academică și cercetare în domeniul Antreprenoriatului, la University of Rochester, în primul semestru al anului academic 2018-2019; Fulbright Senior Award for [...]",CERCETARE - COOPERARE
Aplicații ale statisticii în sănătate și inginerie,"Marți, 20 iunie 2017, la ora 9:00, în Laboratorul de Matematici asistate de calculator 1, etajul 2, Rectorat, va avea loc sesiunea de comunicări științifice studențești „Aplicații ale statisticii în sănătate și inginerie” &#8211; ediția a IV-a, organizată de Facultatea de Mecanică și Departamentul de Matematică. Acest eveniment are drept obiectiv prezentarea activității de cercetare [...]",ALTE ANUNȚURI
Simpozion Științific Studențesc al Facultății de Chimie Industrială și Ingineria Mediului,"Facultatea de Chimie Industrială și Ingineria Mediului împreună cu Liga Studenților Chimiști din Timișoara organizează în data de 16 iunie 2017 „Simpozionul Științific Studențesc al Facultății de Chimie Industrială și Ingineria Mediului”. Manifestarea se adresează studenților de la toate ciclurile de studii universitare (licență, master și doctorat), oferindu-le acestora posibilitatea de a-și prezenta activitatea de [...]",EVENIMENT
Școală de vară „Product design and manufacturing”,"În perioada 12-23 iunie, în Departamentul IMF se desfășoară a IV-a ediție a Școlii de vară „Product design and manufacturing”, la care participă 26 studenți de la Institutul Național Politehnic din Grenoble, Facultatea de Inginerie Industrială, pe baza convenției încheiate între Grenoble-INP și UPT. Școala de vară cuprinde 75 de ore, organizate în 5 module [...]",DIDACTIC
Concurs Studențesc Interactive Digital Media Student Contest,"Universitatea Politehnica Timișoara prin Centrul Multimedia a organizat vineri 9 iunie 2017  Concursul Studențesc Interactive Digital Media Student Contest. Ajuns la cea de-a IV-a ediție, Interactive Digital Media Student Contest este o competiție studențească care își propune să stimuleze creativitatea și spiritul de competiție în domeniul multimedia. La concurs au fost prezentate 20 de proiecte [...]",ALTE ANUNȚURI
Rezultate deosebite pentru cercetătorii UPT,"La Expoziția EUROINVENT – European Exhibition of Creativity and Innovation 2017 &#8211; ediția a IX a, desfășurată la Iași în perioada 25-27 mai 2017, universitatea noastră a  obținut diploma și medalia de aur pentru brevetul „Transformator planar cu nanofluid magnetic&#8221;, titulari Institutul Național de Cercetare-Dezvoltare pentru Inginerie Electrică ICPE-CA  și Universitatea Politehnica Timișoara. Autori  din UPT: Conf.univ.dr.ing. Floriana Daniela Stoian, [...]",CERCETARE - COOPERARE
Zilele Culturii Germane în Banat,"În data de 8 iunie, Consulatul German din Timişoara organizează împreună cu Facultatea de Ştiințe ale Comunicării simpozionul internațional &#8220;Deutsche Sprache und Kultur im Banat zwischen Tradition und Zukunft&#8221;  („Limbă şi cultură germană în Banat, între tradiție şi viitor&#8221;). Evenimentul se desfăşoară în cadrul „Zilelor Economiei şi Culturii Germane în Banat&#8221; (Deutsche Kultur- und Wirtschaftstage [...]",EVENIMENT
Orașe Magnet,"Miercuri, 7 iunie 2017, cu începere de la 09:30, în sala Polivalentă a Bibliotecii Universității Politehnica Timișoara, Marcel Ionescu-Heroiu, Senior Urban Development Specialist la Banca Mondială, va prezenta studiul „Orașe Magnet&#8221; &#8211; o analiză a orașelor secundare din România care au fost cele mai atractive în ultimii ani. Vom afla că Timișoara este una dintre [...]",ALTE ANUNȚURI
Lansare monografie Profesor Neguț,"Fundația Politehnica are plăcerea să vă invite la prezentarea monografiei „De la Societatea Sportivă de ieri (1920-1921) la Asociația Sportivă Universitară de azi (2015-2016)” &#8211; semnată de prof. dr. ing. Nicolae Neguț. Evenimentul va avea loc joi, 8 iunie 2017, ora 13:00, Amfiteatrul 150, Facultatea de Mecanică.",EVENIMENT
InGENIOUSly Continental,"Timp de 17 săptămâni, 35 de studenți împărțiți în șapte echipe au concurat pentru locul I al concursului InGENIOUSly Continental. Sub coordonarea mentorilor Continental și ai Universității Politehnica, echipele au avut de proiectat o machetă ce implementează principul de Car2Car Communication, ceea ce înseamnă că mașinile au posibilitatea de a transmite informații între ele pentru [...]",EVENIMENT
Susținere teză de abilitare Alexandru GACSÁDI,"Luni, 24 iulie 2017, începând cu ora 11:00, va avea loc susținerea publică a tezei de abilitare cu titlul “CELLULAR NEURAL/NONLINEAR NETWORKS WITH IMAGE PROCESSING AND MOBILE ROBOT NAVIGATION APPLICATIONS“, elaborată de Prof.dr.ing. Alexandru GACSÁDI. Manifestarea va avea loc în Corpul Electro, Sala A116, Bv. Vasile Pârvan nr. 2.",EVENIMENT
Susținere teză de abilitare Crisanta-Alina MAZILESCU,"Marți, 25 iulie 2017, începând cu ora 11:00, va avea loc susținerea publică a tezei de abilitare cu titlul “NORMES SOCIALES DE JUGEMENT EN MILIEU ORGANISATIONNEL“, elaborată de Conf.dr.psih. Crisanta-Alina MAZILESCU. Manifestarea va avea loc la Centrul de Studii și Cercetări Psihologice, sala Verde, Str. Paris nr.1 (fosta Bibliotecă Britanică).",EVENIMENT
Susținere teză de abilitare Mihai-Alexandru UDRESCU-MILOSAV,"Joi, 20 iulie 2017, începând cu ora 12:00, va avea loc susținerea publică a tezei de abilitare cu titlul “NETWORK SCIENCE IN COMPUTER ENGINEERING AND INFORMATION TECHNOLOGY“, elaborată de Conf.dr.ing. Mihai-Alexandru UDRESCU-MILOSAV. Manifestarea va avea loc în Corpul Electro, Sala A109, Bv. Vasile Pârvan nr. 2.",EVENIMENT
Susținere teză de abilitare Sorin DAN,"Luni, 17 iulie 2017, începând cu ora 11:00, va avea loc susținerea publică a tezei de abilitare cu titlul “REHABILITATION OF EXISTING CONCRETE AND/OR MASONRY STRUCTURES IN SEISMIC REGIONS. A PERMANENT CHALLENGE FOR CIVIL ENGINEERS“, elaborată de Conf.dr.ing. Sorin DAN. Manifestarea va avea loc la Facultatea de Construcții, Str. Traian Lalescu, Nr. 2, Amfiteatrul Constantin Avram.",EVENIMENT
Student câștigător al Bursei Guvernului Francez,Andrei FORTON doctorand în cadrul Universității Politehnica Timișoara a obținut Bursa Guvernului Francez pentru anul universitar 2017-2018. Acesta va derula stagii de cercetare în anii universitari 2017-2018 și 2018-2019 la École nationale des travaux publics de l&#8217;État (Lyon) sub coordonarea prof. univ. dr. ing. Adrian CIUTINA și prof. univ. dr. ing. Herve DI BENEDETTO. &#160; [...],ALTE ANUNȚURI
Top cercetători în domeniul inteligenței artificiale,"Un studiu realizat de site-ul IIoT World îl clasează pe domnul profesor dr. ing. Radu-Emil Precup, cadru didactic în Departamentul de Automatică și Informatică Aplicată, în primii 10 cercetători din domeniul inteligenței și automatizării artificiale. Articolul prezintă statistici care se bazează pe algoritmi ai League of Scholars, care clasifică oamenii de știință din întreaga lume, nu [...]",CERCETARE - COOPERARE
Susținere teză de abilitare Gabriela-Alina DUMITREL,"Joi, 13 iulie 2017, începând cu ora 9:00, va avea loc susținerea publică a tezei de abilitare cu titlul „MODELARE ȘI SIMULARE ÎN DOMENIUL CALITĂȚII PRODUSELOR ALIMENTARE ȘI AL ENERGIILOR REGENERABILE“, elaborată de Conf.dr.ing. Gabriela-Alina DUMITREL. Manifestarea va avea loc la Facultatea de Chimie Industrială și Ingineria Mediului, b-dul Vasile Pârvan, nr. 6, sala B17.",EVENIMENT
Susținere teză de abilitare Sandor Ianos BERNAD,"Marți, 11 iulie 2017, începând cu ora 11:00, va avea loc susținerea publică a tezei de abilitare cu titlul “FLOW HYDRODYNAMICS IN ENGINEERING and BIOMEDICAL APPLICATIONS“, elaborată de Dr. ing. Sandor Ianos BERNAD. Manifestarea va avea loc la Facultatea de Mecanică, Str. Mihai Viteazu nr. 1, Sala 150.",EVENIMENT
Susținere teză de abilitare Cornelia-Veronica MUNTEAN,"Vineri, 1 Septembrie 2017, începând cu ora 11:00, va avea loc susținerea publică a tezei de abilitare cu titlul „MATERIALE OXIDICE NANOSTRUCTURATE ŞI MATERIALE FUNCŢIONALIZATE CU APLICAŢII ÎN PROTECŢIA MEDIULUI”, elaborată de S.l.dr.ing. Cornelia-Veronica MUNTEAN. Manifestarea va avea loc la Facultatea de Chimie Industrială și Ingineria Mediului, sala B17, b-dul Vasile Pârvan, nr. 6.",EVENIMENT
Studenții Universității Politehnica Timișoara beneficează de o aplicație mobilă dedicată,"La inițiativa COSPol (Convenției Organizațiilor Studențești din Politehnică), cele mai frecvente întrebări ale studenților politehniști își găsesc răspuns rapid și facil prin intermediul aplicației mobile Student UPT.  Aplicația creată de Bogdan Budescu, student în anul 3 la Facultatea de Automatică și Calculatoare, și Gheorghe Dârle, student în anul 2 master la Facultatea de Automatică și [...]",ALTE ANUNȚURI
Monopostul de curse FORMULA STUDENT al echipei UPT Racing Team la Biblioteca Centrală,"Începând cu 25 septembrie, Biblioteca Centrală a UPT găzduiește monopostul de curse FORMULA STUDENT al echipei UPT Racing Team formată din studenți ai Politehnicii Timișoara, sub coordonarea domnului Conf. dr. ing. Mihon Liviu. Vă invităm să vizionați proiectul tinerilor ingineri care au obținut rezultate semnificative la concursurile destinate acestei categorii de curse, sub emblema UPT-ului. Pentru cei interesați să [...]",EVENIMENT
Sesiunea Științifică de Toamnă a Academiei Oamenilor de Știință,"Academia Oamenilor de Știință din România organizează în perioada 12-14 octombrie 2017 la Timișoara Sesiunea Științifică de Toamnă a Academiei Oamenilor de Știință, având  ca temă „Cercetarea științifică în sprijinul dezvoltării durabile”. Agenda evenimentului o puteti găsi aici.",EVENIMENT
Expoziție de fotografie LAND OF ESCAPE,"Biblioteca Universității Politehnica vă invită luni, 25 septembrie, ora 18.00 la vernisajul expoziției de fotografie LAND OF ESCAPE &#8211; Alexander Bold, Germania. Prezintă M.C. Donici și Robert Șerban. Recital: Doru Roman (percuție) și Sorin Petrescu (pian). Vă puteți bucura de muzică și în serile următoare: marți, 26 septembrie, ora 18.00 – Recital Duo: Carmen Iuga [...]",EVENIMENT
Urmările furtunii,"Duminică după-amiază, în urma furtunii, câteva dintre clădirile Politehnicii au suferit pagube. Personalul UPT s-a mobilizat pentru reparațiile urgente și curățenia aferentă. Mai multe informații în filmul atașat.",ALTE ANUNȚURI
Workshop Vector Austria,"Facultatea de Electronică, Telecomunicații și Tehnologii Informaționale în colaborare cu Facultatea de Automatică și Calculatoare găzduiesc un workshop cu prezentări tehnice dedicate comunicațiilor de date și testării în domeniul industriei automotive. Prezentările sunt susținute de experți de la compania Vector Austria GmbH, un producător de vârf în domeniul tool-urilor de simulare, analiză și testare. La workshop participă studenți, cadre didactice și angajați [...]",ALTE ANUNȚURI
„Best paper awards” pentru cercetători din UPT,"În cadrul conferinţei IEEE Conference on Computer Vision and Pattern Recognition (CVPR 2017) (cea mai importantă conferinţă în domeniul computer vision şi pattern recognition, cu o participare de peste 5000 de cercetători) care a avut loc în luna iulie în Honolulu, Hawaii, USA,  echipa formata din  Codruta O. Ancuţi (UPT, ETC, Dept. MEO), Cosmin Ancuţi (UPT, ETC, Dept. MEO), [...]",ALTE ANUNȚURI
Electronics Summer University 2017,"Universitatea Politehnica Timișoara a derulat în perioada 21.08.2017 &#8211; 03.09.2017 programul Electronics Summer University. Prima ediție s-a încheiat sâmbătă, 2.09.2017, ceremonia având loc în Amfiteatrul K1 al Centrului de conferințe UPT. Festivitatea a avut loc într-un cadru festiv și în prezența tuturor celor care au contribuit la realizarea cu success a programului. Electronics Summer University [...]",EVENIMENT
Susținere teză de abilitare Floriana-Daniela STOIAN,"Marți, 5 Septembrie 2017, începând cu ora 10:00, va avea loc susținerea publică a tezei de abilitare cu titlul “FROM NANOSCALE EFFECTS TO MACROSCOPIC QUANTITIES BEHAVIOR: EFFECTS OF ELECTRIC AND MAGNETIC FIELDS ON TWO-PHASE MEDIA“, elaborată de Conf.dr.ing. Floriana-Daniela STOIAN. Manifestarea va avea loc la Facultatea de Mecanică, Sala 150, Str. Mihai Viteazu nr. 1.",EVENIMENT
Susținere teză de abilitare Sebastian MUNTEAN,"Marți, 5 Septembrie 2017, începând cu ora 11:00, va avea loc susținerea publică a tezei de abilitare cu titlul “EXPERIMENTAL AND NUMERICAL FLOW INVESTIGATIONS IN HYDRAULIC MACHINES“, elaborată de CS.1 Dr.ing. Sebastian MUNTEAN. Manifestarea va avea loc la Biblioteca centrala UPT, Amfiteatru K1, Bv. Vasile Pârvan Nr. 2b.",EVENIMENT
Seara Filmului Francez,"Vă invităm joi, 2 noiembrie, de la ora 18, în sala Polivalentă a Bibliotecii UPT, la Seara filmului Francez, în cadrul căreia va fi proiectat filmul Eden. Acțiunea filmului are loc la începutul anilor ‘90, când muzica electronică franceză este în plină efervescență. DJ Paul împreună cu cel mai bun prieten al său lansează în discotecile [...]",EVENIMENT
Prestigiosul premiu „Excellence in Global Contribution” câștigat de cercetători din cadrul Universității Politehnica Timișoara,"Statutul de instituție de elită în cercetare al Universității Politehnica Timișoara este reconfirmat prin recentul premiu obținut de domnii Radu-Emil Precup, Mircea-Bogdan Rădac și Stefan Preitl la Gala Scopus Awards, organizată pentru a doua oară de Elsevier în România, în 26 octombrie 2017, la Iași. Cele trei cadre didactice ale Universității Politehnica Timișoara au fost [...]",CERCETARE - COOPERARE
UPT Racing team,"Echipa UPT RacingTeam, coordonată de conf.dr.ing. Liviu MIHON, participant pentru al doilea an consecutiv în competiția internațională Formula Student, își va prezenta rezultatele obținute. Evenimentul va avea loc miercuri, 25.10.2017, începând cu orele 17.30, la Biblioteca Universitară a UPT. Cu această ocazie vor fi prezenți membrii echipei UPT RacingTeam și sponsorii principali, care vor putea răspunde [...]",EVENIMENT
Design in the Age of Intelligence™,"În perioada 20-21 octombrie 2017, Flextronics România în parteneriat cu Universitatea Politehnica Timişoara organizează un eveniment inedit dedicat tehnologiei viitorului &#8211; Design in the Age of Intelligence™. Deschiderea expoziţiei va avea loc în Sala Auditorium a Bibliotecii Universităţii Politehnica Timişoara vineri, 20 octombrie 2017, ora 18:30. Liderii companiei vă vor prezenta soluţii tehnologice ale viitorului, [...]",EVENIMENT
"21st International Conference on System Theory, Control and Computing","În perioada 19-21 octombrie 2017, la Sinaia, va avea loc conferinţa ICSTCC organizată cu sprijinul Departamentului de Automatică şi Calculatoare prin intermediul IEEE Control Systems Society. Conferinţa își propune să reunească într-o formă unică oameni de știință din mediul academic și din industrie pentru a discuta despre stadiul actual al tehnicii și despre noile tendințe [...]",ALTE ANUNȚURI
Cercetare științifică în sprijinul dezvoltării economice durabile,"Academia Oamenilor de Știință din România organizează la Timișoara, în perioada 12-14 octombrie a.c., Conferința Științifică de Toamnă cu tema „Cercetare științifică în sprijinul dezvoltării economice durabile”. În cadrul Conferinței vor fi prezentate peste 140 lucrări: din domeniul științelor inginerești, economice, medicale, istorice, filosofice, militare, din domeniul științelor fundamentale: matematică, fizică, chimie ș.a. Lucrările Conferinței [...]",EVENIMENT
Conferință Free Software and Your Freedom – Dr. Richard Stallman,"Universitatea Politehnica Timișoara prin intermediul Departamentului de Calculatoare și Tehnologia Informației, în colaborare cu Fundația Ceata și evenimentul Coliberator 2017 organizează miercuri, 11 octombrie 2017, ora 12:00, la Centrul de Conferințe al UPT, în sala „Auditorium” evenimentul „Free Software and Your Freedom” susținut de legendarul Richard Stallman. Intrarea este deschisă tuturor celor interesați de domeniul [...]",EVENIMENT
Politehnica în era revoluției 4.0,"Comitetul Director al Universității Politehnica Timișoara, singurul organism consultativ de acest gen din țară, a aniversat 5 ani de la înființare. Întâlnirea celor 20 de reprezentanți ai mediului socio-economic timișorean cu membrii comunității academice s-a desfășurat joi, 5 octombrie 2017, în Auditorium, cel mai nou amfiteatru al universității, care a fost inaugurat cu această ocazie. [...]",EVENIMENT
